افریقہ	África
کتاب مقدس	Bíblia
ہولمیئم	Hólmio
سان مارینو شہر	San Marino (cidade)
عیربیئم	Érbio
پنوم پن	Phnom Penh
آرخانگلسک	Arcangel
تھلیئم	Túlio
ہو چی من	Cidade de Ho Chi Minh
یٹّربیئم	Itérbio
لوٹیٹیئم	Lutécio
ہنوئی	Hanói
کلیسائے عیسوی حقیقی	Verdadeira Igreja de Jesus
انگریزی زبان	Língua inglesa
بنکاک	Banguecoque
انڈورا لا ویلا	Andorra-a-Velha
کوالالمپور	Kuala Lumpur
جزائر بانگکا بیلیٹنگ	Bangka-Belitung
تائپے	Taipé
امریکیئم	Amerício
اودیسا	Odessa
آرخانگلسک اوبلاست	Oblast de Arkhangelsk
کیوریئم	Cúrio
دونگ ہوئی	Dong Hoi
کونسیپشیون	Concepción (Chile)
برکیلیئم	Berquélio
کیلیفورنیئم	Califórnio
سفارت کاری	Diplomacia
بنگکولو	Bengkulu
بلونیا	Bolonha
آئنسٹائنیئم	Einstênio
پیٹروزاودسک	Petrozavodsk
Fermium	Férmio
Mendelevium	Mendelévio
کیف	Kiev
Nobelium	Nobélio
انٹاریو	Ontário
Lawrencium	Laurêncio
عادل رامی	Adil Rami
کریم بنزیما	Karim Benzema
جمہوریہ کریلیا	República da Carélia
فرانک ریبری	Franck Ribéry
سمیر نصری	Samir Nasri
حاتم بن عرفہ	Hatem Ben Arfa
اوٹاوا	Ottawa
خلائی دوڑ	Corrida espacial
ایرک ابیدال	Éric Abidal
جبریل سیسے	Djibril Cissé
باکاری سانا	Bacary Sagna
نیکولا آنلکا	Nicolas Anelka
ابو دیابی	Abou Diaby
جوبا	Juba (Sudão do Sul)
مانیٹوبا	Manitoba
البرٹا	Alberta
نووا سکوشیا	Nova Escócia
یریوان	Erevan
کونسکوولا	Końskowola
دارالسلام	Dar es Salaam
خرطوم	Cartum
نیو برنزویک	Nova Brunswick
دیم	Dième
شاملے	Chamelet
فورملا ون	Fórmula 1
ترنان	Ternand
سینٹ-کلیمنٹ-سر-ولسوں نے	Saint-Clément-sur-Valsonne
برٹش کولمبیا	Colúmbia Britânica
گراندری	Grandris
ریوولے	Rivolet
پرنس ایڈورڈ آئی لینڈ	Ilha do Príncipe Eduardo
اودینا	Odenas
اوئن	Oingt
2000ء	2000
2003ء	2003
2002ء	2002
2001ء	2001
ساسکچیوان	Saskatchewan
2012ء	2012
2011ء	2011
2010ء	2010
2009ء	2009
کاربن دو اکسید	Dióxido de carbono
2013ء	2013
2014ء	2014
2015ء	2015
نیو فاؤنڈ لینڈ اور لیبراڈور	Terra Nova e Labrador
2008ء	2008
جاوا سکرپٹ	JavaScript
شمال مغربی علاقہ جات، کینیڈا	Territórios do Noroeste
يوكون	Yukon
2004ء	2004
ولوگدا اوبلاست	Oblast de Vologda
2005ء	2005
2006ء	2006
نناوت	Nunavut
2007ء	2007
Carbon monoxide	Monóxido de carbono
شامبس-آلیر	Chambost-Allières
اکالوئٹ	Iqaluit
1900ء	1900
1901ء	1901
جسیپی فارینہ	Giuseppe Farina
چارلس ڈیگال	Charles de Gaulle
1902ء	1902
فلورنس	Florença
1903ء	1903
1904ء	1904
1905ء	1905
1907ء	1907
1906ء	1906
جامبی	Jambi
1908ء	1908
1909ء	1909
وائٹ ہارس (یوکون)	Whitehorse (Yukon)
1992ء	1992
یلوکنیفے	Yellowknife
1991ء	1991
1990ء	1990
1993ء	1993
ایسین	Essen
1994ء	1994
1995ء	1995
یوآن مینوعل فانگیو	Juan Manuel Fangio
1996ء	1996
کومی جمہوریہ	República de Komi
1910ء	1910
1911ء	1911
1912ء	1912
پیمانی سمتیہ تخطیط	SVG
لائپزش	Leipzig
1913ء	1913
سینٹ جانز، نیوفنلینڈ اور لیبراڈار	St. John's
1914ء	1914
1915ء	1915
ایلبرٹو اسکاری	Alberto Ascari
1916ء	1916
1997ء	1997
1998ء	1998
نورنبرگ	Nuremberga
1999ء	1999
1917ء	1917
1918ء	1918
غذا	Alimento
ایڈمنٹن	Edmonton
بنیادی بار	Carga do elétron
سانپ	Serpente
مائیک ہوتھورن	Mike Hawthorn
لامپونگ	Lampung
روشنی کی رفتار	Velocidade da luz
توسیعی مارک اپ زبان	XML
دہنی جماع	Sexo oral
ریجینا، ساسکچیوان	Regina (Saskatchewan)
جسکا د ایستاں	Valéry Giscard d'Estaing
جیک بریبیم	Jack Brabham
نیوٹرینو	Neutrino
شارلٹٹاؤن	Charlottetown
وکٹوریا، برٹش کولمبیا	Victoria (Colúmbia Britânica)
ونی پیگ	Winnipeg
فریڈریکٹن (نیو برنزوک)	Fredericton
شمالی سماٹرا	Sumatra Setentrional
ہیلی فیکس (نووا سکوشیا)	Halifax
سیکتیوکار	Syktyvkar
کیوبک شہر	Quebec (cidade)
متناسق عالمی وقت−12:00	UTC−12
1 جنوری	1 de janeiro
2 جنوری	2 de janeiro
سبھاش چندر بوس	Subhas Chandra Bose
متناسق عالمی وقت−11:00	UTC−11
1920ء	1920
3 جنوری	3 de janeiro
1919ء	1919
1921ء	1921
متناسق عالمی وقت−10:00	UTC−10
نینیتس خود مختار آکرگ	Nenétsia
1922ء	1922
لونڈ	Lund (Suécia)
4 جنوری	4 de janeiro
1923ء	1923
متناسق عالمی وقت−09:30	UTC−9:30
1924ء	1924
ناریان-مار	Naryan-Mar
ریاو	Riau (província)
متناسق عالمی وقت−09:00	UTC−9
روسی سوویت وفاقی اشتراکی جمہوریہ	República Socialista Federativa Soviética da Rússia
میئکاوایان	Meycauayan
لیننگراڈ اوبلاست	Oblast de Leningrado
مشترکہ گروہ برائے عکسیہ ماہران	Joint Photographic Experts Group
بونا سیارہ	Planeta anão
5 جنوری	5 de janeiro
متناسق عالمی وقت−08:00	UTC−8
مالمو	Malmö
متناسق عالمی وقت−07:00	UTC−7
پسکوف اوبلاست	Oblast de Pskov
دریائے پیس	Rio Peace
6 جنوری	6 de janeiro
ریاو جزائر صوبہ	Ilhas Riau
برقیہ	Elétron
7 جنوری	7 de janeiro
8 جنوری	8 de janeiro
9 جنوری	9 de janeiro
نووگورود اوبلاست	Oblast de Novgorod
10 جنوری	10 de janeiro
نزہنی نووگورود اوبلاست	Oblast de Níjni Novgorod
11 جنوری	11 de janeiro
12 جنوری	12 de janeiro
لیارڈ دریا	Rio Liard
کولمبیا دریا	Rio Columbia
13 جنوری	13 de janeiro
برمنگھم	Birmingham
14 جنوری	14 de janeiro
15 جنوری	15 de janeiro
16 جنوری	16 de janeiro
کوٹینے دریا	Rio Kootenay
17 جنوری	17 de janeiro
18 جنوری	18 de janeiro
19 جنوری	19 de janeiro
20 جنوری	20 de janeiro
صنعتی انقلاب	Revolução Industrial
بنزین	Benzeno
جنوبی سماٹرا	Sumatra Meridional
21 جنوری	21 de janeiro
22 جنوری	22 de janeiro
23 جنوری	23 de janeiro
رومی سلطنت	Império Romano
24 جنوری	24 de janeiro
25 جنوری	25 de janeiro
منسک	Minsk
لارڈ ساؤرن	Sauron
26 جنوری	26 de janeiro
مائیکروسافٹ	Microsoft
27 جنوری	27 de janeiro
28 جنوری	28 de janeiro
29 جنوری	29 de janeiro
30 جنوری	30 de janeiro
31 جنوری	31 de janeiro
توور اوبلاست	Oblast de Tver
اولیہ (جوہر)	Próton
2 دسمبر	2 de dezembro
1 دسمبر	1 de dezembro
3 دسمبر	3 de dezembro
7 دسمبر	7 de dezembro
5 دسمبر	5 de dezembro
8 دسمبر	8 de dezembro
10 دسمبر	10 de dezembro
6 دسمبر	6 de dezembro
9 دسمبر	9 de dezembro
4 دسمبر	4 de dezembro
1 فروری	1 de fevereiro
2 فروری	2 de fevereiro
3 فروری	3 de fevereiro
کوروف	Kurów
4 فروری	4 de fevereiro
5 فروری	5 de fevereiro
6 فروری	6 de fevereiro
7 فروری	7 de fevereiro
8 فروری	8 de fevereiro
9 فروری	9 de fevereiro
10 فروری	10 de fevereiro
کیمیاء	Química
14 فروری	14 de fevereiro
13 فروری	13 de fevereiro
15 فروری	15 de fevereiro
11 فروری	11 de fevereiro
12 فروری	12 de fevereiro
سمولنسک	Smolensk
روبن وین پرسی	Robin van Persie
19 فروری	19 de fevereiro
17 فروری	17 de fevereiro
16 فروری	16 de fevereiro
18 فروری	18 de fevereiro
20 فروری	20 de fevereiro
تحلیلی کیمیاء	Química analítica
سمولنسک اوبلاست	Oblast de Smolensk
نیوٹرون	Nêutron
21 فروری	21 de fevereiro
22 فروری	22 de fevereiro
23 فروری	23 de fevereiro
24 فروری	24 de fevereiro
25 فروری	25 de fevereiro
26 فروری	26 de fevereiro
27ء	27
27 فروری	27 de fevereiro
28 فروری	28 de fevereiro
11 دسمبر	11 de dezembro
29 فروری	29 de fevereiro
12 دسمبر	12 de dezembro
13 دسمبر	13 de dezembro
14 دسمبر	14 de dezembro
15 دسمبر	15 de dezembro
2 مارچ	2 de março
3 مارچ	3 de março
5 مارچ	5 de março
1 مارچ	1 de março
7 مارچ	7 de março
8 مارچ	8 de março
4 مارچ	4 de março
10 مارچ	10 de março
11 مارچ	11 de março
6 مارچ	6 de março
13 مارچ	13 de março
9 مارچ	9 de março
12 مارچ	12 de março
15 مارچ	15 de março
14 مارچ	14 de março
16 دسمبر	16 de dezembro
17 دسمبر	17 de dezembro
16 مارچ	16 de março
17 مارچ	17 de março
18 مارچ	18 de março
یاروسلاول	Iaroslavl
19 مارچ	19 de março
1989ء	1989
1988ء	1988
20 مارچ	20 de março
1987ء	1987
1986ء	1986
1985ء	1985
1984ء	1984
21 مارچ	21 de março
1983ء	1983
22 مارچ	22 de março
1982ء	1982
1981ء	1981
18 دسمبر	18 de dezembro
1980ء	1980
23 مارچ	23 de março
یاروسلاول اوبلاست	Oblast de Iaroslavl
موغادیشو	Mogadíscio
19 دسمبر	19 de dezembro
24 مارچ	24 de março
25 مارچ	25 de março
20 دسمبر	20 de dezembro
26 مارچ	26 de março
27 مارچ	27 de março
28 مارچ	28 de março
29 مارچ	29 de março
30 مارچ	30 de março
31 مارچ	31 de março
ارضیات مریخ	Geologia de Marte
نساؤ	Nassau (Bahamas)
اینڈرومیڈا	Galáxia de Andrômeda
صنعاء	Saná
1970ء	1970
1971ء	1971
1972ء	1972
1973ء	1973
1974ء	1974
1975ء	1975
1976ء	1976
1977ء	1977
1978ء	1978
1979ء	1979
1969ء	1969
تاراوا	Tarawa
جنگ سی سالہ	Guerra dos Trinta Anos
کونارڈ ایڈنائر	Konrad Adenauer
معطیاتی دابیت	Compressão de dados
بطریق اعظم بینیڈکٹ شانزدہم	Papa Bento XVI
طفیلی کہکشاں	Galáxia satélite
15 اپریل	15 de abril
13 اپریل	13 de abril
12 اپریل	12 de abril
14 اپریل	14 de abril
11 اپریل	11 de abril
10 اپریل	10 de abril
8 اپریل	8 de abril
9 اپریل	9 de abril
7 اپریل	7 de abril
6 اپریل	6 de abril
5 اپریل	5 de abril
4 اپریل	4 de abril
3 اپریل	3 de abril
1 اپریل	1 de abril
2 اپریل	2 de abril
ہبل خلائی دوربین	Telescópio espacial Hubble
16 اپریل	16 de abril
17 اپریل	17 de abril
18 اپریل	18 de abril
19 اپریل	19 de abril
20 اپریل	20 de abril
21 اپریل	21 de abril
22 اپریل	22 de abril
23 اپریل	23 de abril
24 اپریل	24 de abril
25 اپریل	25 de abril
26 اپریل	26 de abril
27 اپریل	27 de abril
28 اپریل	28 de abril
29 اپریل	29 de abril
30 اپریل	30 de abril
قدرتی سیارچہ	Satélite natural
جواشم گاک	Joachim Gauck
کرسچن وولف	Christian Wulff
ہورسٹ کوہلر	Horst Köhler
1 مئی	1 de maio
2 مئی	2 de maio
3 مئی	3 de maio
4 مئی	4 de maio
5 مئی	5 de maio
جوہانس را	Johannes Rau
6 مئی	6 de maio
7 مئی	7 de maio
8 مئی	8 de maio
9 مئی	9 de maio
10 مئی	10 de maio
11 مئی	11 de maio
12 مئی	12 de maio
13 مئی	13 de maio
14 مئی	14 de maio
15 مئی	15 de maio
رومن ہرزوگ	Roman Herzog
رچرڈ وون وائسزاکر	Richard von Weizsäcker
کارل کارسٹنس	Karl Carstens
والٹر شیل	Walter Scheel
گستاو ہائنمین	Gustav Heinemann
16 مئی	16 de maio
17 مئی	17 de maio
18 مئی	18 de maio
19 مئی	19 de maio
20 مئی	20 de maio
21 مئی	21 de maio
22 مئی	22 de maio
ہائنرک لبکے	Heinrich Lübke
23 مئی	23 de maio
24 مئی	24 de maio
25 مئی	25 de maio
26 مئی	26 de maio
27 مئی	27 de maio
28 مئی	28 de maio
29 مئی	29 de maio
30 مئی	30 de maio
31 مئی	31 de maio
کوستروما اوبلاست	Oblast de Kostroma
واٹفورڈ	Watford
21 دسمبر	21 de dezembro
14 جون	14 de junho
15 جون	15 de junho
13 جون	13 de junho
10 جون	10 de junho
7 جون	7 de junho
11 جون	11 de junho
9 جون	9 de junho
12 جون	12 de junho
6 جون	6 de junho
8 جون	8 de junho
5 جون	5 de junho
3 جون	3 de junho
2 جون	2 de junho
1 جون	1 de junho
4 جون	4 de junho
ناپولی	Nápoles
22 دسمبر	22 de dezembro
1968ء	1968
1967ء	1967
1966ء	1966
1965ء	1965
1964ء	1964
16 جون	16 de junho
ایوانوو اوبلاست	Oblast de Ivanovo
پالیرمو	Palermo
30 جون	30 de junho
29 جون	29 de junho
28 جون	28 de junho
26 جون	26 de junho
25 جون	25 de junho
22 جون	22 de junho
27 جون	27 de junho
24 جون	24 de junho
20 جون	20 de junho
23 جون	23 de junho
19 جون	19 de junho
18 جون	18 de junho
21 جون	21 de junho
17 جون	17 de junho
23 دسمبر	23 de dezembro
گومل	Gomel
پارما	Parma
15 جولائی	15 de julho
13 جولائی	13 de julho
12 جولائی	12 de julho
10 جولائی	10 de julho
9 جولائی	9 de julho
14 جولائی	14 de julho
8 جولائی	8 de julho
7 جولائی	7 de julho
6 جولائی	6 de julho
5 جولائی	5 de julho
2 جولائی	2 de julho
4 جولائی	4 de julho
3 جولائی	3 de julho
1 جولائی	1 de julho
11 جولائی	11 de julho
ولادیمیر اوبلاست	Oblast de Vladimir
24 دسمبر	24 de dezembro
ساشا گرے	Sasha Grey
31 جولائی	31 de julho
30 جولائی	30 de julho
29 جولائی	29 de julho
28 جولائی	28 de julho
27 جولائی	27 de julho
25 جولائی	25 de julho
24 جولائی	24 de julho
23 جولائی	23 de julho
26 جولائی	26 de julho
22 جولائی	22 de julho
19 جولائی	19 de julho
21 جولائی	21 de julho
20 جولائی	20 de julho
17 جولائی	17 de julho
18 جولائی	18 de julho
16 جولائی	16 de julho
فٹبال	Futebol
25 دسمبر	25 de dezembro
ریازان	Riazan
ریازان اوبلاست	Oblast de Riazan
1963ء	1963
26 دسمبر	26 de dezembro
مرگ انبوہ	Holocausto
1962ء	1962
مغربی سماٹرا	Sumatra Ocidental
برانشویگ	Brunsvique
14 اگست	14 de agosto
15 اگست	15 de agosto
13 اگست	13 de agosto
12 اگست	12 de agosto
11 اگست	11 de agosto
10 اگست	10 de agosto
8 اگست	8 de agosto
7 اگست	7 de agosto
9 اگست	9 de agosto
5 اگست	5 de agosto
4 اگست	4 de agosto
2 اگست	2 de agosto
3 اگست	3 de agosto
6 اگست	6 de agosto
1 اگست	1 de agosto
تولا اوبلاست	Oblast de Tula
گرم برادران	Irmãos Grimm
آئی پیڈ	IPad
27 دسمبر	27 de dezembro
بریانسک	Briansk
میدرد	Madrid
بریانسک اوبلاست	Oblast de Briansk
آبدوز	Submarino
16 اگست	16 de agosto
کوکا کولا مشروب	Coca-Cola
29 اگست	29 de agosto
28 اگست	28 de agosto
30 اگست	30 de agosto
25 اگست	25 de agosto
26 اگست	26 de agosto
23 اگست	23 de agosto
27 اگست	27 de agosto
21 اگست	21 de agosto
20 اگست	20 de agosto
24 اگست	24 de agosto
18 اگست	18 de agosto
17 اگست	17 de agosto
22 اگست	22 de agosto
19 اگست	19 de agosto
31 اگست	31 de agosto
مائیکل جیکسن	Michael Jackson
28 دسمبر	28 de dezembro
فری برگ	Friburgo em Brisgóvia
عدمِ کلام	Afasia
نزلہ	Gripe
بوگوتا	Bogotá
کالوگا اوبلاست	Oblast de Kaluga
براسیلیا	Brasília
15 ستمبر	15 de setembro
14 ستمبر	14 de setembro
13 ستمبر	13 de setembro
12 ستمبر	12 de setembro
8 ستمبر	8 de setembro
11 ستمبر	11 de setembro
7 ستمبر	7 de setembro
10 ستمبر	10 de setembro
5 ستمبر	5 de setembro
4 ستمبر	4 de setembro
9 ستمبر	9 de setembro
2 ستمبر	2 de setembro
6 ستمبر	6 de setembro
1 ستمبر	1 de setembro
3 ستمبر	3 de setembro
29 دسمبر	29 de dezembro
لیما	Lima
کینیڈا کے صوبے اور علاقہ جات	Províncias e territórios do Canadá
30 ستمبر	30 de setembro
29 ستمبر	29 de setembro
28 ستمبر	28 de setembro
27 ستمبر	27 de setembro
26 ستمبر	26 de setembro
25 ستمبر	25 de setembro
سینٹیاگو، چلی	Santiago (Chile)
23 ستمبر	23 de setembro
22 ستمبر	22 de setembro
24 ستمبر	24 de setembro
21 ستمبر	21 de setembro
20 ستمبر	20 de setembro
18 ستمبر	18 de setembro
17 ستمبر	17 de setembro
بیلاروسی سوویت اشتراکی جمہوریہ	República Socialista Soviética da Bielorrússia
19 ستمبر	19 de setembro
16 ستمبر	16 de setembro
کیٹو	Quito
30 دسمبر	30 de dezembro
سکرے	Sucre
31 دسمبر	31 de dezembro
1 اکتوبر	1 de outubro
15 اکتوبر	15 de outubro
12 اکتوبر	12 de outubro
10 اکتوبر	10 de outubro
14 اکتوبر	14 de outubro
9 اکتوبر	9 de outubro
8 اکتوبر	8 de outubro
13 اکتوبر	13 de outubro
7 اکتوبر	7 de outubro
11 اکتوبر	11 de outubro
6 اکتوبر	6 de outubro
4 اکتوبر	4 de outubro
5 اکتوبر	5 de outubro
3 اکتوبر	3 de outubro
2 اکتوبر	2 de outubro
اسونسیون	Assunção
بکری	Capra aegagrus hircus
31 اکتوبر	31 de outubro
30 اکتوبر	30 de outubro
29 اکتوبر	29 de outubro
28 اکتوبر	28 de outubro
26 اکتوبر	26 de outubro
25 اکتوبر	25 de outubro
24 اکتوبر	24 de outubro
27 اکتوبر	27 de outubro
22 اکتوبر	22 de outubro
23 اکتوبر	23 de outubro
20 اکتوبر	20 de outubro
21 اکتوبر	21 de outubro
19 اکتوبر	19 de outubro
17 اکتوبر	17 de outubro
16 اکتوبر	16 de outubro
18 اکتوبر	18 de outubro
ہائیڈل برگ	Heidelberg
حریت	Liberdade
15 نومبر	15 de novembro
14 نومبر	14 de novembro
13 نومبر	13 de novembro
12 نومبر	12 de novembro
11 نومبر	11 de novembro
10 نومبر	10 de novembro
7 نومبر	7 de novembro
8 نومبر	8 de novembro
9 نومبر	9 de novembro
6 نومبر	6 de novembro
5 نومبر	5 de novembro
4 نومبر	4 de novembro
3 نومبر	3 de novembro
2 نومبر	2 de novembro
1 نومبر	1 de novembro
پاراماریبو	Paramaribo
ضلع پنبرگ	Pinneberg (distrito)
30 نومبر	30 de novembro
29 نومبر	29 de novembro
28 نومبر	28 de novembro
27 نومبر	27 de novembro
26 نومبر	26 de novembro
25 نومبر	25 de novembro
23 نومبر	23 de novembro
24 نومبر	24 de novembro
21 نومبر	21 de novembro
20 نومبر	20 de novembro
22 نومبر	22 de novembro
19 نومبر	19 de novembro
18 نومبر	18 de novembro
17 نومبر	17 de novembro
16 نومبر	16 de novembro
لڑکی	Menina
کھٹمنڈو	Catmandu
خلیج ہڈسن	Baía de Hudson
بلموپان	Belmopan
شارلیمین	Carlos Magno
سان ہوزے, کوسٹاریکا	San José (Costa Rica)
سان سلواڈور	San Salvador
